Area Codes,Area Names ,Geographical Designation,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19
K02000001,UNITED KINGDOM,,7.42,7.46,7.51,7.61,7.65,7.68,7.69,7.71
E92000001,ENGLAND,Country,7.41,7.44,7.50,7.60,7.64,7.68,7.68,7.71
E12000001,NORTH EAST,Region,7.44,7.39,7.47,7.57,7.62,7.61,7.66,7.67
E06000047,County Durham,Local Authority ,7.52,7.30,7.49,7.69,7.62,7.65,7.80,7.83
E06000005,Darlington,Local Authority ,7.50,7.46,7.59,7.68,7.62,7.61,7.74,7.73
E06000001,Hartlepool,Local Authority ,7.48,7.32,7.48,7.66,7.56,7.56,7.49,7.56
E06000002,Middlesbrough,Local Authority ,7.41,7.39,7.41,7.53,7.71,7.64,7.63,7.61
E06000057,Northumberland,Local Authority ,7.49,7.54,7.59,7.63,7.76,7.51,7.63,7.58
E06000003,Redcar and Cleveland,Local Authority ,7.45,7.53,7.57,7.60,7.63,7.62,7.72,7.71
E06000004,Stockton-on-Tees,Local Authority ,7.54,7.53,7.60,7.70,7.61,7.72,7.79,7.68
E08000037,Gateshead,Local Authority ,7.29,7.33,7.30,7.44,7.66,7.72,7.64,7.60
E08000021,Newcastle upon Tyne,Local Authority ,7.53,7.39,7.35,7.30,7.42,7.53,7.53,7.59
E08000022,North Tyneside,Local Authority ,7.29,7.44,7.51,7.50,7.60,7.47,7.62,7.72
E08000023,South Tyneside,Local Authority ,7.21,7.22,7.25,7.53,7.59,7.62,7.54,7.62
E08000024,Sunderland,Local Authority ,7.36,7.32,7.48,7.54,7.60,7.70,7.61,7.62
E12000002,NORTH WEST ,Region,7.37,7.41,7.42,7.56,7.55,7.59,7.68,7.69
E06000008,Blackburn with Darwen,Local Authority,7.11,7.27,7.26,7.54,7.59,7.54,7.78,7.80
E06000009,Blackpool,Local Authority,7.13,7.34,7.38,7.31,7.45,7.46,7.46,7.55
E06000049,Cheshire East,Local Authority,7.63,7.56,7.50,7.83,7.85,7.56,7.80,7.93
E06000050,Cheshire West and Chester,Local Authority,7.50,7.44,7.52,7.71,7.60,7.84,7.88,7.72
E06000006,Halton,Local Authority,7.43,7.39,7.37,7.57,7.61,7.56,7.64,7.62
E06000007,Warrington,Local Authority,7.52,7.51,7.53,7.69,7.62,7.83,7.86,7.76
E10000006,Cumbria ,County,7.69,7.65,7.73,7.89,7.74,7.84,7.79,7.84
E07000026,Allerdale,Local Authority,7.88,7.68,7.81,8.14,7.82,7.74,7.90,7.90
E07000027,Barrow-in-Furness,Local Authority,7.28,7.38,7.38,7.43,7.68,7.77,7.53,7.57
E07000028,Carlisle,Local Authority,7.65,7.60,7.69,7.64,7.60,7.76,7.54,7.96
E07000029,Copeland,Local Authority,7.81,7.73,7.85,8.04,7.49,8.08,8.24,7.89
E07000030,Eden,Local Authority,7.83,7.78,7.89,7.95,7.99,7.87,8.15,7.97
E07000031,South Lakeland,Local Authority,7.67,7.75,7.76,8.07,7.87,7.88,7.62,7.72
E08000001,Bolton,Local Authority,7.25,7.39,7.39,7.58,7.53,7.56,7.70,7.71
E08000002,Bury,Local Authority,7.20,7.47,7.52,7.66,7.61,7.52,7.62,7.65
E08000003,Manchester,Local Authority,7.26,7.17,7.19,7.33,7.36,7.45,7.42,7.53
E08000004,Oldham ,Local Authority,7.07,7.30,7.15,7.23,7.38,7.45,7.55,7.58
E08000005,Rochdale,Local Authority,7.13,7.18,7.23,7.47,7.52,7.52,7.56,7.48
E08000006,Salford,Local Authority,7.03,7.30,7.27,7.51,7.42,7.49,7.67,7.55
E08000007,Stockport,Local Authority,7.56,7.60,7.54,7.61,7.69,7.64,7.75,7.72
E08000008,Tameside,Local Authority,7.34,7.27,7.37,7.36,7.52,7.55,7.66,7.73
E08000009,Trafford,Local Authority,7.49,7.51,7.62,7.68,7.76,7.78,7.76,7.77
E08000010,Wigan,Local Authority,7.29,7.39,7.41,7.50,7.77,7.74,7.77,7.75
E10000017,Lancashire,County,7.47,7.48,7.53,7.66,7.45,7.64,7.80,7.79
E07000117,Burnley,Local Authority,7.14,7.50,7.56,7.72,7.01,7.77,7.62,7.34
E07000118,Chorley,Local Authority,7.30,7.63,7.54,7.56,7.54,7.65,8.04,8.02
E07000119,Fylde,Local Authority,7.65,7.40,7.99,7.78,7.87,7.90,7.96,8.45
E07000120,Hyndburn,Local Authority,7.20,7.11,7.21,7.49,7.49,7.53,7.71,7.99
E07000121,Lancaster,Local Authority,7.61,7.65,7.65,7.66,7.46,7.47,7.81,7.62
