Area Codes,Area Names ,Geographical Designation,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19
K02000001,UNITED KINGDOM,,7.67,7.70,7.74,7.82,7.84,7.86,7.88,7.89
E92000001,ENGLAND,Country,7.66,7.69,7.74,7.82,7.83,7.86,7.88,7.88
E12000001,NORTH EAST,Region,7.64,7.64,7.72,7.74,7.79,7.79,7.88,7.89
E06000047,County Durham,Local Authority ,7.68,7.65,7.74,7.76,7.80,7.88,8.01,8.07
E06000005,Darlington,Local Authority ,7.68,7.66,7.83,7.81,7.91,7.77,7.87,7.93
E06000001,Hartlepool,Local Authority ,7.53,7.59,7.71,7.85,7.73,7.70,7.81,7.84
E06000002,Middlesbrough,Local Authority ,7.61,7.70,7.64,7.73,7.89,7.70,7.84,7.92
E06000057,Northumberland,Local Authority ,7.74,7.79,7.80,7.77,7.80,7.67,7.83,7.89
E06000003,Redcar and Cleveland,Local Authority ,7.76,7.77,7.89,7.88,7.76,7.76,7.91,7.85
E06000004,Stockton-on-Tees,Local Authority ,7.60,7.74,7.82,7.95,7.87,7.87,7.98,7.82
E08000037,Gateshead,Local Authority ,7.56,7.49,7.62,7.62,7.85,7.90,7.85,7.74
E08000021,Newcastle upon Tyne,Local Authority ,7.63,7.52,7.58,7.50,7.63,7.63,7.64,7.73
E08000022,North Tyneside,Local Authority ,7.65,7.69,7.68,7.71,7.75,7.71,7.91,7.90
E08000023,South Tyneside,Local Authority ,7.45,7.55,7.57,7.67,7.78,7.83,7.77,7.89
E08000024,Sunderland,Local Authority ,7.61,7.58,7.74,7.82,7.85,7.89,7.95,7.88
E12000002,NORTH WEST ,Region,7.66,7.67,7.70,7.82,7.80,7.83,7.91,7.89
E06000008,Blackburn with Darwen,Local Authority,7.40,7.50,7.65,7.84,7.84,7.78,7.89,7.95
E06000009,Blackpool,Local Authority,7.45,7.54,7.65,7.62,7.74,7.59,7.73,7.80
E06000049,Cheshire East,Local Authority,7.83,7.84,7.82,8.04,8.10,7.87,8.08,7.96
E06000050,Cheshire West and Chester,Local Authority,7.79,7.71,7.79,7.93,7.80,7.92,8.07,7.87
E06000006,Halton,Local Authority,7.77,7.70,7.70,7.89,7.83,7.80,7.82,7.87
E06000007,Warrington,Local Authority,7.91,7.72,7.80,7.87,7.82,7.96,7.99,7.93
E10000006,Cumbria ,County,7.85,7.75,7.98,8.02,7.96,8.00,7.87,7.93
E07000026,Allerdale,Local Authority,7.95,7.76,8.14,8.33,7.94,7.92,7.92,8.12
E07000027,Barrow-in-Furness,Local Authority,7.51,7.51,7.77,7.48,7.76,7.92,7.73,7.47
E07000028,Carlisle,Local Authority,7.96,7.95,7.86,7.82,7.97,7.92,7.68,7.96
E07000029,Copeland,Local Authority,7.80,7.65,7.96,8.14,7.81,8.07,8.25,8.05
E07000030,Eden,Local Authority,7.99,7.68,8.16,8.17,8.38,7.85,8.20,8.11
E07000031,South Lakeland,Local Authority,7.81,7.79,8.00,8.12,7.96,8.23,7.71,7.82
E08000001,Bolton,Local Authority,7.62,7.57,7.64,7.87,7.81,7.85,7.98,7.89
E08000002,Bury,Local Authority,7.52,7.72,7.80,7.82,7.74,7.87,7.88,7.87
E08000003,Manchester,Local Authority,7.42,7.43,7.44,7.63,7.50,7.63,7.69,7.75
E08000004,Oldham ,Local Authority,7.44,7.58,7.53,7.48,7.70,7.79,7.82,7.86
E08000005,Rochdale,Local Authority,7.49,7.53,7.48,7.67,7.73,7.80,7.81,7.80
E08000006,Salford,Local Authority,7.39,7.60,7.52,7.75,7.72,7.67,7.76,7.80
E08000007,Stockport,Local Authority,7.77,7.84,7.76,7.85,7.86,7.87,8.01,7.98
E08000008,Tameside,Local Authority,7.67,7.60,7.53,7.69,7.74,7.74,7.86,7.97
E08000009,Trafford,Local Authority,7.73,7.75,7.85,7.92,8.00,7.96,7.86,7.86
E08000010,Wigan,Local Authority,7.64,7.78,7.72,7.78,7.89,8.04,8.05,8.09
E10000017,Lancashire,County,7.78,7.75,7.75,7.92,7.79,7.91,8.03,7.95
E07000117,Burnley,Local Authority,7.46,7.76,7.69,7.91,7.47,8.09,7.89,7.54
E07000118,Chorley,Local Authority,7.67,7.99,7.59,7.83,7.99,8.11,8.00,8.17
E07000119,Fylde,Local Authority,7.59,7.92,8.52,8.09,8.02,8.09,8.21,8.25
E07000120,Hyndburn,Local Authority,7.68,7.61,7.84,7.87,7.79,7.81,8.05,7.73
E07000121,Lancaster,Local Authority,7.91,7.66,7.55,7.97,7.76,7.72,7.79,7.82
E07000122,Pendle,Local Authority,7.85,7.51,7.64,7.88,8.05,7.99,7.86,7.66
E07000123,Preston,Local Authority,7.72,7.82,7.33,7.69,7.43,7.58,8.07,8.25
E07000124,Ribble Valley,Local Authority,8.33,7.93,8.06,8.45,7.73,8.06,8.43,8.26
E07000125,Rossendale,Local Authority,7.92,7.55,7.95,7.97,8.01,7.92,8.25,8.15
E07000126,South Ribble,Local Authority,7.93,7.90,7.60,8.12,8.02,7.90,8.10,7.78
E07000127,West Lancashire,Local Authority,7.58,7.65,7.83,8.00,7.63,7.82,7.94,7.90
E07000128,Wyre,Local Authority,7.87,7.72,8.05,7.64,7.84,8.09,8.08,7.89
E08000011,Knowsley ,Local Authority,7.70,7.55,7.70,7.55,7.79,7.71,7.71,7.89
E08000012,Liverpool,Local Authority,7.44,7.59,7.54,7.57,7.69,7.73,7.76,7.72
E08000014,Sefton,Local Authority,7.73,7.75,7.74,7.79,7.80,7.67,8.03,7.95
E08000013,St. Helens,Local Authority,7.88,7.72,7.81,7.83,7.79,7.74,7.82,7.86
E08000015,Wirral,Local Authority,7.65,7.64,7.73,7.87,7.85,7.82,7.91,7.94
E12000003,YORKSHIRE AND THE HUMBER,Region,7.69,7.70,7.72,7.82,7.85,7.90,7.89,7.88
E06000011,East Riding of Yorkshire,Local Authority,7.78,7.84,7.90,7.95,8.00,8.14,7.94,8.12
E06000010,"Kingston upon Hull, City of",Local Authority,7.64,7.68,7.72,7.69,7.65,7.78,7.80,7.86
E06000012,North East Lincolnshire,Local Authority,7.81,7.78,7.63,7.78,7.90,7.90,8.01,7.95
E06000013,North Lincolnshire,Local Authority,7.77,7.81,7.92,7.96,7.82,7.93,7.89,7.81
E06000014,York,Local Authority,7.71,7.78,7.62,7.82,7.80,7.84,7.74,7.75
E10000023,North Yorkshire,County,7.82,7.86,7.81,7.87,7.95,8.06,8.04,7.98
E07000163,Craven,Local Authority,7.74,7.78,8.22,7.93,8.02,8.49,8.06,8.01
E07000164,Hambleton,Local Authority,7.74,7.88,7.37,7.91,8.29,8.02,8.29,8.26
E07000165,Harrogate,Local Authority,7.86,7.96,8.03,7.98,7.96,8.02,8.15,7.87
E07000166,Richmondshire,Local Authority,7.92,7.96,7.81,7.85,7.79,8.63,x,7.52
E07000167,Ryedale,Local Authority,7.80,7.67,7.58,7.79,8.13,8.10,7.92,7.92
E07000168,Scarborough,Local Authority,7.72,7.70,7.64,7.86,7.77,7.73,7.94,8.02
E07000169,Selby,Local Authority,8.00,7.95,7.98,7.65,7.71,7.97,7.79,8.12
E08000016,Barnsley,Local Authority,7.51,7.57,7.67,7.84,7.78,7.84,7.94,8.00
E08000017,Doncaster,Local Authority,7.76,7.75,7.70,7.81,7.90,7.88,7.74,7.79
E08000018,Rotherham ,Local Authority,7.59,7.78,7.73,7.79,7.87,7.90,7.84,7.68
E08000019,Sheffield,Local Authority,7.65,7.61,7.65,7.73,7.73,7.69,7.76,7.87
E08000032,Bradford ,Local Authority,7.61,7.68,7.78,7.85,7.83,7.89,7.75,7.87
E08000033,Calderdale,Local Authority,7.71,7.77,7.72,7.95,7.86,7.94,7.91,7.84
E08000034,Kirklees ,Local Authority,7.62,7.60,7.65,7.76,7.87,7.91,7.90,7.80
E08000035,Leeds ,Local Authority,7.66,7.60,7.69,7.82,7.89,7.88,7.99,7.93
E08000036,Wakefield,Local Authority,7.70,7.68,7.69,7.82,7.87,7.88,8.01,7.78
